FAC001,Thanh sắt,Chiếc,500
FAC002,Thép tấm,Chiếc,300
FAC003,Gạch men,Chiếc,1000
FAC004,Đá granite,Chiếc,200
FAC005,Xi măng,Chiếc,500
FAC006,Cát xây dựng,Chiếc,1000
FAC007,Đá dăm,Chiếc,800
FAC008,Bê tông,Chiếc,600
FAC009,Thanh thép tròn,Chiếc,350
FAC010,Máy hàn,Chiếc,25
FAC011,Móng bê tông,Chiếc,150
FAC012,Thạch cao,Chiếc,200
FAC013,Ống nước PVC,Chiếc,500
FAC014,Cửa thép,Chiếc,100
FAC015,Nhôm hợp kim,Chiếc,300
FAC016,Gạch lát nền,Chiếc,1200
FAC017,Bê tông cốt thép,Chiếc,400
FAC018,Đá ốp lát,Chiếc,350
FAC019,Ống thoát nước,Chiếc,250
FAC020,Thùng sơn,Chiếc,500
FAC021,Đinh vít,Chiếc,2000
FAC022,Băng keo dán tường,Chiếc,100
FAC023,Thanh gỗ,Chiếc,150
FAC024,Gạch đỏ,Chiếc,800
FAC025,Đá ốp tường,Chiếc,400
FAC026,Sơn dầu,Chiếc,100
FAC027,Cát đen,Chiếc,600
FAC028,Đá xây dựng,Chiếc,1000
FAC029,Thanh thép mạ kẽm,Chiếc,500
FAC030,Búa,Chiếc,150
FAC031,Chìa khóa cửa,Chiếc,250
FAC032,Cửa sổ nhôm,Chiếc,100
FAC033,Đá hộc,Chiếc,450
FAC034,Ống thép,Chiếc,300
FAC035,Tấm lợp fibro xi măng,Chiếc,200
FAC036,Gạch ống,Chiếc,800
FAC037,Chìa khóa sắt,Chiếc,400
FAC038,Ống nhựa PVC,Chiếc,600
FAC039,Thanh trượt cửa,Chiếc,150
FAC040,Đá đỏ,Chiếc,350
FAC041,Cây cột thép,Chiếc,200
FAC042,Thanh bê tông,Chiếc,500
FAC043,Ống đồng,Chiếc,300
FAC044,Đá vôi,Chiếc,600
FAC045,Thảm trải sàn,Chiếc,100
FAC046,Tấm lợp nhựa,Chiếc,250
FAC047,Đá cuội,Chiếc,500
FAC048,Đá vân mây,Chiếc,200
FAC049,Gạch chịu lửa,Chiếc,150
FAC050,Ống nhựa HDPE,Chiếc,200
FAC051,Chậu xi măng,Chiếc,100
FAC052,Gạch bông,Chiếc,1200
FAC053,Thanh giằng thép,Chiếc,400
FAC054,Sắt tròn,Chiếc,500
FAC055,Gạch ceramic,Chiếc,600
FAC056,Đá marble,Chiếc,300
FAC057,Thanh thép chữ U,Chiếc,350
FAC058,Máng xối nhôm,Chiếc,100
FAC059,Thanh thép chữ V,Chiếc,150
FAC060,Ống gió,Chiếc,200
FAC061,Đá xám,Chiếc,500
FAC062,Ống nhựa PVC uPVC,Chiếc,300
FAC063,Cỏ nhân tạo,Chiếc,50
FAC064,Tấm cách âm,Chiếc,120
FAC065,Thùng đựng vật liệu,Chiếc,300
FAC066,Chai chống thấm,Chiếc,100
FAC067,Đá trắng,Chiếc,250
FAC068,Đá xanh,Chiếc,300
FAC069,Thanh ván ép,Chiếc,500
FAC070,Thép góc,Chiếc,250
FAC071,Thanh xà gồ,Chiếc,400
FAC072,Đá sỏi,Chiếc,800
FAC073,Tấm thạch cao chống ẩm,Chiếc,200
FAC074,Ống nhựa PE,Chiếc,500
FAC075,Tấm chống thấm,Chiếc,150
FAC076,Thanh thép vuông,Chiếc,350
FAC077,Cửa nhựa,Chiếc,200
FAC078,Thanh inox,Chiếc,300
FAC079,Gạch bể,Chiếc,1000
FAC080,Ống sắt,Chiếc,600
FAC081,Tấm xi măng,Chiếc,350
FAC082,Đá ong,Chiếc,150
FAC083,Đá bazan,Chiếc,400
FAC084,Tấm chắn ánh sáng,Chiếc,250
FAC085,Đá tự nhiên,Chiếc,300
FAC086,Thép ống,Chiếc,350
FAC087,Đá khò,Chiếc,450
FAC088,Thanh thép tấm,Chiếc,300
FAC089,Khối bê tông nhẹ,Chiếc,250
FAC090,Đá cẩm thạch,Chiếc,200
FAC091,Ống gang,Chiếc,150
FAC092,Bột trét tường,Chiếc,200
FAC093,Thép thanh,Chiếc,400
FAC094,Thanh thép hộp,Chiếc,350
FAC095,Tấm lợp sợi thủy tinh,Chiếc,100
FAC096,Ống nhựa PPR,Chiếc,300
FAC097,Đá tảng,Chiếc,500
FAC098,Ống thép vuông,Chiếc,150
FAC099,Gạch đỏ nung,Chiếc,600
FAC100,Tấm lót sàn,Chiếc,250